municipio,tipo de crimen,año,trimestre,num_trimestre,conteo_predicho,modelo,nivel_confianza
Alcorcón,Robos con violencia e intimidación,2026,Q3,3,40.414428976935575,Gradient Boosting,Estándar
Alcorcón,Secuestro,2026,Q1,1,0.0,Mediana móvil 4,Alta incertidumbre
Alcorcón,Secuestro,2026,Q2,2,0.0,Mediana móvil 4,Alta incertidumbre
Alcorcón,Secuestro,2026,Q3,3,0.0,Mediana móvil 4,Alta incertidumbre
Alcorcón,Sustracciones de vehículos,2026,Q1,1,27.16012910384872,Gradient Boosting,Estándar
Alcorcón,Sustracciones de vehículos,2026,Q2,2,26.618505597650902,Gradient Boosting,Estándar
Alcorcón,Sustracciones de vehículos,2026,Q3,3,26.618505597650902,Gradient Boosting,Estándar
Alcorcón,Tráfico de drogas,2026,Q1,1,9.442934742707198,Gradient Boosting,Estándar
Alcorcón,Tráfico de drogas,2026,Q2,2,8.813094374985594,Gradient Boosting,Estándar
Alcorcón,Tráfico de drogas,2026,Q3,3,8.133214802020944,Gradient Boosting,Estándar
Algete,Agresión sexual con penetración,2026,Q1,1,0.8721091698062586,Gradient Boosting,Estándar
Algete,Agresión sexual con penetración,2026,Q2,2,0.893002421187457,Gradient Boosting,Estándar
Algete,Agresión sexual con penetración,2026,Q3,3,1.0281116633735434,Gradient Boosting,Estándar
Algete,Delitos contra la libertad sexual,2026,Q1,1,1.4345847002223302,Gradient Boosting,Estándar
Algete,Delitos contra la libertad sexual,2026,Q2,2,1.466513630084666,Gradient Boosting,Estándar
Algete,Delitos contra la libertad sexual,2026,Q3,3,1.466513630084666,Gradient Boosting,Estándar
Algete,Delitos graves y menos graves de lesiones y riña tumultuaria,2026,Q1,1,2.271346604439703,Gradient Boosting,Estándar
Algete,Delitos graves y menos graves de lesiones y riña tumultuaria,2026,Q2,2,2.7458041343984534,Gradient Boosting,Estándar
Algete,Delitos graves y menos graves de lesiones y riña tumultuaria,2026,Q3,3,3.182783706520226,Gradient Boosting,Estándar
Algete,Estafas informáticas,2026,Q1,1,66.13115474900755,Gradient Boosting,Estándar
Algete,Estafas informáticas,2026,Q2,2,64.12711212180496,Gradient Boosting,Estándar
Algete,Estafas informáticas,2026,Q3,3,64.12711212180496,Gradient Boosting,Estándar
Algete,Homicidios dolosos y asesinatos consumados,2026,Q1,1,0.0,Mediana móvil 4,Alta incertidumbre
Algete,Homicidios dolosos y asesinatos consumados,2026,Q2,2,0.0,Mediana móvil 4,Alta incertidumbre
Algete,Homicidios dolosos y asesinatos consumados,2026,Q3,3,0.0,Mediana móvil 4,Alta incertidumbre
